LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
-0.481223,-0.0183791,-0.000577912,0.287814
-0.421463,-0.748332,0.0674928,-0.448144
-0.74121,-0.851324,-7.49767,-0.899732
-1.02935,-0.772999,-0.0356304,-0.316585
-1.06394,-0.355383,-1.4794,0.191506
-0.274749,-0.201354,-0.512879,0.227069
-0.37095,-0.0329552,0.174667,0.0052038
-1.01713,-0.0677455,-0.229306,-0.129049
-0.719998,-0.409934,-1.40267,-0.403146
-0.0641491,0.0409768,0.154652,-0.200728
0.378734,-0.047093,0.157223,-0.724834
-0.0525096,0.0296798,-0.0385107,0.206926
-0.458704,0.0402561,-0.32515,0.240462
-0.0619658,-0.251039,-0.26488,0.149744
0.364579,-0.105269,-0.542763,0.0953505
-0.598102,-0.0045416,0.0414659,0.292212
-0.453767,-0.049049,-0.0210089,0.0726795
-0.321691,0.0263776,0.146938,0.122079
-1.06178,-1.32577,-5.66955,-0.986556
0.0154207,-0.203214,-0.10465,0.12223
-1.09504,-0.853281,-1.76225,-1.07241
0.325912,0.0754251,0.117762,0.192059
-0.538641,-0.847885,-3.69728,-1.29101
0.272735,0.0555224,0.204554,0.10199
0.233026,-0.00319845,0.105906,0.148357
-1.11625,-0.622444,-0.148093,-0.279854
-0.0429602,-0.186564,-1.09215,0.235456
0.266661,-0.724957,-0.444118,-0.330853
0.0254071,-0.792163,-1.04057,-0.140575
-0.832132,0.0315301,-0.298303,0.0543586
0.152678,-0.0236167,-0.0247489,0.220296
0.543283,0.0518838,0.167468,0.304635
0.346118,-0.3531,-0.786171,-0.0757885
-0.0882149,-0.00851173,-0.340298,-0.00309816
-1.35391,-0.500086,-0.603167,-0.102195
-0.00178475,0.388236,0.155037,0.225555
-0.828445,-0.0607519,-0.537018,-0.0958499
0.325197,0.0281747,-0.208716,-1.83293
0.012719,-0.4199,-0.731011,-0.303063
-0.00358174,0.0376574,-0.221606,0.207961
-0.8457,-0.128229,-3.45728,-0.255738
-0.533585,-0.799296,-0.332026,-0.667547
-1.70251,-1.70511,-2.35219,-1.93907
0.427328,0.0205282,0.0812355,-0.601085
0.202593,-0.451575,-0.294712,-0.367079
0.420059,-0.694313,-1.82624,-0.297957
-2.84179,-1.676,-4.24249,-2.36994
0.0290018,0.026968,0.108223,0.282743
-0.0655856,0.0856868,0.0935301,0.35149
-0.14449,0.0370442,0.0614644,0.236512
-0.207271,-0.907379,-0.555288,-0.499392
0.432899,0.0457306,0.0673274,0.296021
0.346563,-0.748444,-0.47482,-0.814167
-1.93832,-1.58946,-1.16845,-1.68481
0.647212,0.0376292,0.206483,0.0569829
-0.870667,-0.21565,0.0532095,-0.942765
0.321741,-0.139405,-0.00189862,0.275089
-1.1042,-0.860412,-3.46295,-1.83711
-0.375888,-0.487267,0.0905046,-0.121911
-0.00204415,-0.31406,-0.204992,0.0625361
0.00735931,-0.616288,-0.408772,-0.189593
-0.911075,-0.299853,-7.99424,-1.37601
-1.18035,-0.231822,0.0703325,-0.109242
-1.21672,-0.869636,-2.01682,-1.38596
-0.687359,-0.0429537,-0.253992,0.189717
-0.690254,-0.745497,-1.51632,-0.41261
-1.20877,-0.196173,0.00468388,-0.291059
-1.31863,-0.869832,-2.15776,-0.478368
-1.83242,-0.797539,-0.813376,-0.184779
0.0589938,0.00382675,0.0889321,0.0943313
0.39918,-0.280857,-0.155773,-2.08397
0.0253295,-0.275909,-2.75357,-0.182251
-1.22102,0.00120184,-0.335031,-0.0700651
-1.2118,-1.00022,-0.807438,-0.537317
-1.18769,-0.371089,-0.348188,-0.247976
