LikelihoodQ,LikelihoodT,LikelihoodTheta,LikelihoodPhi
-0.240818,-0.921075,-2.41161,-0.628732
1.37128,-0.494745,0.060224,0.220485
-0.0846965,-0.00125949,-0.335686,-3.61436
1.47174,-0.157093,0.14077,-1.44629
1.29546,-0.843647,-0.640561,-0.715245
0.290481,1.78707,0.221883,0.14022
-0.326625,0.0564719,0.114948,0.123813
1.15474,0.0488953,0.0604925,0.0638189
1.10481,-0.447997,-0.236935,0.320106
1.12867,-0.302975,-0.630862,-0.599569
1.14429,-0.00766539,0.161541,-0.468591
0.736806,-0.00444897,0.00644899,0.194775
0.281667,-0.396841,-0.678707,-0.53676
-0.144808,-0.0996521,0.068922,0.0265486
0.873973,-0.586826,-0.874243,-0.228292
0.516156,0.164179,0.148218,0.289972
-0.0451581,-0.0167724,0.106996,-0.0199277
0.418522,0.446867,0.15524,0.110402
0.405005,1.71928,0.0990555,0.145663
0.99153,-0.0133752,0.128486,-0.145484
0.499649,0.0315215,0.0985301,-0.211477
1.41321,-0.239281,-0.0582413,0.0134484
0.331336,-0.0519181,-1.34145,-0.167499
1.56051,-0.882845,-1.61022,-0.59049
0.525077,-0.107946,0.106442,-0.374603
0.160891,-1.13224,-0.413313,-1.06329
1.71144,-0.453863,-0.0771641,-0.364591
0.292878,0.103212,0.11977,0.150859
0.831262,-0.160967,-0.195747,0.0428108
-0.0710524,1.5371,-3.17289,-0.0806263
0.708954,-0.0669946,0.00208189,0.113998
0.279088,0.135134,0.0887689,0.261414
1.46144,0.170872,-0.192096,0.0826251
1.45364,-0.251609,-0.0938267,-0.193197
0.125329,-0.809665,-2.1544,-0.104129
-0.426308,0.0710835,-0.0408461,0.0211941
0.969632,-0.324823,-0.191783,0.182701
1.36217,0.133944,0.115275,0.185462
1.0605,-0.63983,-0.057073,-2.06034
2.74691,-0.0850798,0.00702217,-0.30067
0.935739,-0.0620186,0.170711,0.0481876
0.66215,-1.17003,-1.17885,-0.348416
0.216524,-1.42493,-3.02895,-0.755641
0.799558,0.136914,0.122791,0.0994612
0.388911,0.237764,0.0929078,-0.410065
1.24673,-0.753425,0.0386254,-0.149615
1.09558,-0.524146,-0.52724,0.105936
0.459733,-0.559095,-0.00143362,0.161382
0.522377,0.180206,0.0694131,0.114597
0.511558,0.878352,0.170099,-0.172484
1.0699,0.0770586,0.0286712,-0.251619
1.11404,-0.156229,-0.0785004,0.135911
0.567373,0.140404,0.144151,0.223589
0.4456,0.125349,-0.644545,-0.0392703
0.268726,-0.676096,-1.33378,-0.363801
0.233373,1.09643,0.0796559,0.19815
0.0446074,0.113848,0.167703,-0.707455
0.623353,0.876605,0.0647362,0.180464
0.0858208,0.424284,0.108312,0.0942009
0.392927,0.63472,0.0916474,0.28432
-0.0865391,0.345905,0.107742,0.210606
1.57018,0.0733297,-0.88019,0.0619841
0.260004,0.304738,0.0897407,0.203538
1.1537,0.0356521,-0.0162114,0.121032
0.379109,0.191927,0.0893846,0.319494
-0.612568,-0.152175,-0.259821,-0.92124
1.26995,-0.326003,-0.635666,-0.425445
1.13896,0.104142,0.13006,-0.0145166
0.482161,0.296751,-0.0202763,0.105636
1.22083,0.0700806,0.0495017,0.219225
-0.966827,0.0715577,0.0824809,0.107905
0.92968,0.136688,0.109486,0.215819
2.29457,0.070618,0.0812105,0.246717
0.65696,-0.0463222,-0.103085,0.235062
0.644168,-0.181444,-0.108821,0.0413934
0.360767,0.10566,0.113518,0.238015
0.562946,0.137752,-0.0123378,0.176101
0.208438,0.100441,0.0674309,0.206862
-0.174729,-0.0769329,-0.218138,-0.128919
0.61645,-0.890781,-2.28531,-0.740422
0.962542,0.0204618,-0.27108,-0.302129
