pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
21,1539.23,6.07709,0.7437,0.847121,0.670036,0.63468,-0.707704,0.322794,0.0765732,0.00746642,-0.00534033,0.667624,0.255298,0.191093,1,1,0.238095,0.047619,0.047619,0,0.142857,57,6.71931,0.327567,0.589785,0.347846,0.235762,-0.198213,0.320441,0.102683,0.0319683,-0.015946,8,6,5,1,1.33333,0.1275,0.203,0,1,0,840.849,623,343
30,1848.94,8.05265,0.755927,1.03754,0.780597,0.86573,-0.777919,0.451983,0.136742,0.0415459,-0.0097708,0.542603,0.1548,0.1082,0.991967,1,0.166667,0.0666667,0,0.0333333,0.0333333,122,7.34678,0.451663,0.521583,0.272049,0.159599,-0.126838,0.208774,0.0435866,-0.00817283,-0.00068684,3,3,1,0,1,0,0,0,1,0,688.088,644,351
23,1839.68,6.78087,0.544905,0.882792,0.512761,0.46792,-0.309577,0.43985,0.0962888,0.0510056,0.00950895,0.412329,0.0998028,0.321652,1,1,0.217391,0.0434783,0,0.0434783,0,97,6.90996,0.38233,0.597562,0.357081,0.261451,-0.186617,0.331353,0.109795,0.0216442,-0.0205864,2,1,0,0,2,0,0,0,1,0,623.38,715,395
40,2216.15,8.76475,0.10325,0.992307,0.562406,0.595835,-0.176099,0.899727,0.435865,0.441777,-0.0100536,0.61653,0.246955,0.0961223,0.978164,1,0.35,0.25,0.025,0.4,0.075,321,7.37163,0.0357548,0.357366,0.127711,0.0884719,0.0155265,0.335681,0.112682,0.075602,0.0146512,6,6,0,1,1,0,0,0,1,0,1070.01,719,398
42,2334.79,8.5963,0.668027,1.1415,0.944414,1.25153,-0.693018,0.626789,0.231034,0.222743,0.171243,0.649715,0.219921,0.100196,0.960341,1,0.261905,0.142857,0.0238095,0.0952381,0.0714286,116,9.66179,0.327327,0.626726,0.392785,0.281756,-0.255554,0.35526,0.12621,0.0444699,-0.0255033,14,9,0,1,1.55556,0.121124,0.1218,0,1,0,1256.99,241,133
33,2225.24,7.73878,0.479373,0.916489,0.560802,0.536172,-0.36732,0.510388,0.135642,0.0904666,0.0178962,0.446968,0.131716,0.22076,0.995208,1,0.30303,0.0606061,0,0.030303,0,109,8.43421,0.248759,0.587643,0.345324,0.238034,-0.188295,0.379955,0.144366,0.0630082,-0.0304125,10,7,0,1,1.42857,0.2295,0,0,1,0,1133.15,291,150
20,1476.89,6.33256,0.244244,0.690416,0.288333,0.189594,-0.109074,0.47133,0.103849,0.0531969,0.000385682,0.512807,0.184932,0.180273,1,1,0.3,0.05,0.05,0.05,0.05,114,6.39776,0.14191,0.432328,0.186907,0.121061,-0.0227344,0.339182,0.115044,0.0582147,-0.00707183,3,3,1,0,1,0,0,0,1,0,618.273,739,410
27,1895.67,6.64811,0.311285,0.786632,0.463208,0.394457,-0.27271,0.509274,0.172253,0.112824,-0.00566319,0.757702,0.49169,0.144503,1,1,0.259259,0.037037,0.148148,0.0740741,0.185185,102,7.01829,0.236962,0.627443,0.393684,0.29659,-0.237245,0.436775,0.190772,0.0955018,-0.0558929,7,6,1,0,1.16667,0,0.135333,0,1,0,659.733,771,432
26,1672.73,6.98192,0.697523,0.914075,0.710813,0.710253,-0.755225,0.380718,0.101336,0.0301995,-0.00669731,0.682255,0.368778,0.176527,1,1,0.307692,0.0384615,0.0769231,0,0.153846,44,8.32638,0.269501,0.590142,0.348268,0.268367,-0.152827,0.400815,0.160653,0.0724223,-0.0364435,4,4,3,0,1,0,0,0,1,0,631.756,454,231
35,2356.46,8.24722,0.337143,0.871648,0.501145,0.454201,-0.294585,0.568942,0.181007,0.128388,0.00412044,0.437819,0.137396,0.15061,1,1,0.342857,0.142857,0,0.114286,0,114,8.61414,0.191364,0.591699,0.350107,0.248235,-0.18629,0.432874,0.18738,0.097456,-0.0502442,7,6,4,1,1.16667,0.203,0,0,1,0,864.574,336,195
31,1921.6,8.19323,0.892313,1.06673,1.09266,1.34907,-1.80034,0.430419,0.153761,0.0360212,-0.0138809,0.620476,0.27438,0.134964,0.948925,1,0.16129,0.16129,0,0.0322581,0.16129,54,9.11519,0.361152,0.599249,0.359099,0.256149,-0.199416,0.326871,0.106845,0.0272876,-0.0186334,6,4,3,0,1.5,0.0765,0.0338333,0,1,0,779.027,396,231
32,2284.42,7.98929,0.387268,0.90526,0.496042,0.472141,-0.236009,0.566685,0.164395,0.117533,0.0141004,0.471073,0.135193,0.247817,0.995306,1,0.3125,0.15625,0,0.125,0.03125,103,7.68725,0.186737,0.557436,0.310734,0.21437,-0.137354,0.408893,0.167193,0.0837556,-0.037884,9,7,5,1,1.28571,0.03825,0,1,1,0,981.899,488,297
27,1725.6,7.45948,0.296435,0.910637,0.421845,0.393746,-0.0666279,0.661273,0.167862,0.144555,0.0858756,0.751671,0.196534,0.233892,0.993674,1,0.37037,0.148148,0,0.111111,0.0740741,92,7.3868,0.187654,0.540633,0.292284,0.202354,-0.110273,0.396335,0.157082,0.0791694,-0.0289031,3,3,2,0,1,0,0,0,1,0,666.64,668,389
31,1832.95,8.3583,0.763879,1.06754,0.969449,1.15901,-1.3137,0.50399,0.166787,0.0799607,-0.00215101,0.973191,0.50565,0.195482,0.9596,1,0.387097,0.258065,0.0322581,0.129032,0.258065,151,6.58761,0.600731,0.72861,0.530872,0.40971,-0.526134,0.22661,0.051352,-0.00653535,8.13049e-05,8,7,5,1,1.14286,0.1785,0,0,1,0,825.739,13,11
25,1672.02,6.85331,0.508043,1.1023,0.566532,0.742614,0.412456,0.725112,0.170081,0.246832,0.385513,0.995271,0.352381,0.238469,0.969563,1,0.4,0.08,0,0.12,0.12,107,6.46012,0.31778,0.529551,0.280424,0.188208,-0.104741,0.308852,0.0953893,0.0251141,-0.0130179,14,7,4,1,2,0.523678,0.372167,0,1,0,1029.54,166,95
21,1539.72,6.75049,0.757286,0.959825,0.824547,0.890576,-1.018,0.360055,0.124414,0.0297683,-0.0172231,0.348017,0.116346,0.154793,1,1,0.142857,0,0,0,0,116,6.60674,0.54795,0.669218,0.447852,0.337193,-0.34477,0.277104,0.0767868,-0.0117599,-0.00597412,3,2,1,0,1.5,0,0.203,0,1,0,630.063,20,13
22,1526.01,6.1116,0.597137,0.85337,0.531387,0.490195,-0.334842,0.396743,0.0901167,0.0399714,0.0120934,0.62807,0.213784,0.208438,0.988877,1,0.227273,0.0454545,0.0454545,0.0454545,0.0454545,97,6.38435,0.346725,0.553358,0.306205,0.214156,-0.125471,0.316651,0.100268,0.023596,-0.0144604,2,2,1,0,1,0,0,0,1,0,549.424,940,494
28,1869.71,7.45295,0.573444,0.919992,0.671337,0.713248,-0.494907,0.473662,0.149897,0.101136,0.0272309,0.833148,0.340285,0.206621,0.991406,1,0.285714,0.0714286,0,0.0357143,0.107143,129,6.77643,0.502103,0.671028,0.450279,0.339099,-0.34831,0.283599,0.0804286,0.00268597,-0.00944391,8,6,0,1,1.33333,0.3315,0,0,1,0,929.097,94,50
