pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,multiplerings
31,1910.43,6.99719,0.220841,0.883509,0.434396,0.384272,-0.178792,0.683873,0.222624,0.172012,0.00325102,0.573416,0.190698,0.123697,1,1,0.387097,0,0,0.258065,0.0645161,144,6.47676,0.172859,0.478783,0.229233,0.146375,-0.0603624,0.35215,0.124009,0.0573657,-0.0161471,7,5,2,0,1.4,0.03825,0,0,1
26,1771.92,7.54825,0.462976,0.941287,0.534163,0.535524,-0.209352,0.56855,0.141901,0.115642,0.0673617,0.666892,0.216517,0.171884,0.982974,1,0.269231,0.0769231,0,0.0769231,0.0769231,108,7.30288,0.217497,0.476448,0.227003,0.148467,-0.0527076,0.329087,0.108298,0.0442212,-0.0115054,11,9,0,1,1.22222,0,0.203,0,1
43,2605.97,7.65172,0.303871,1.30287,1.46383,2.22314,-2.76504,1.03268,0.891197,1.16373,-0.724839,1.06608,0.916572,0.0815512,0.782961,1,0.302326,0.0930233,0,0.488372,0.325581,94,7.82095,0.372752,0.603108,0.363739,0.267949,-0.195184,0.338642,0.114678,0.0263485,-0.0225143,7,5,4,0,1.4,0.5355,0,0,1
18,1309.99,6.17127,0.265765,0.778299,0.295929,0.237231,-0.0104219,0.556293,0.108928,0.0852214,0.0585185,0.718797,0.18141,0.229713,0.988716,1,0.388889,0.0555556,0.0555556,0.0555556,0.0555556,113,6.02633,0.189845,0.456424,0.208323,0.143533,-0.0271109,0.340004,0.115603,0.0547108,-0.00893693,8,5,2,0,1.6,0,0.236228,0,1
32,1970.15,9.17378,0.242807,0.963615,0.476597,0.494057,0.0383614,0.762238,0.237823,0.241015,0.207231,0.645125,0.14229,0.18039,0.986484,1,0.3125,0.21875,0,0.09375,0.09375,136,8.46242,0.10859,0.527918,0.278698,0.191269,-0.0966017,0.44201,0.195372,0.11469,-0.0435613,4,4,0,1,1,0,0,0,1
29,2077.18,7.0551,0.345979,1.04084,0.532887,0.580161,-0.0489641,0.763834,0.21056,0.215043,0.158271,0.820541,0.216103,0.171513,0.973052,1,0.310345,0.0344828,0,0.137931,0.137931,119,7.40255,0.180105,0.495264,0.245286,0.165769,-0.0640779,0.36658,0.134381,0.0661203,-0.017688,15,9,1,1,1.66667,0.1015,0.15225,0,1
28,1956.32,7.3859,0.689222,0.92793,0.702146,0.731052,-0.653917,0.395409,0.123067,0.0416194,-0.0103319,0.468005,0.150714,0.152805,1,1,0.214286,0,0,0,0,75,7.45604,0.313977,0.554323,0.307274,0.212318,-0.131361,0.328122,0.107664,0.0323723,-0.0168596,6,5,3,0,1.2,0,0,0,1
29,2059.59,6.75199,0.679538,1.12547,0.875005,1.02171,-0.886189,0.582724,0.158834,0.124806,0.10753,0.829973,0.481255,0.158732,0.993011,1,0.275862,0.0344828,0.103448,0.0344828,0.241379,79,6.97033,0.363079,0.577025,0.332958,0.221571,-0.179236,0.284414,0.0808911,0.0201125,-0.00855403,0,0,0,0,0,0,0,0,1
45,2701.78,7.27119,0.0457302,1.05526,0.690022,0.787902,-0.425012,1.01316,0.625943,0.697681,-0.307772,0.788972,0.43414,0.192352,0.968977,1,0.377778,0.111111,0.0444444,0.533333,0.155556,130,7.50949,0.162176,0.494807,0.244834,0.161562,-0.0682122,0.373089,0.139195,0.0702741,-0.0189253,9,6,0,0,1.5,0.306,0.1015,0,1
82,4600.56,9.24979,0.688315,1.37535,1.48589,2.38321,-2.43504,0.788095,0.481139,0.515365,-0.0201884,0.766509,0.344087,0.090832,0.776782,1,0.329268,0.256098,0.0121951,0.268293,0.195122,157,9.39255,0.14128,0.554486,0.307455,0.219019,-0.123273,0.44389,0.197039,0.113517,-0.0479183,8,5,2,0,1.6,0.357,0.1015,0,1
40,3003.62,7.06206,0.754839,1.06045,0.955158,1.20725,-1.07977,0.478271,0.210264,0.10274,-0.028662,0.82243,0.48932,0.0799357,0.950353,1,0.15,0.025,0,0.075,0.25,140,7.35685,0.222323,0.565912,0.320256,0.221676,-0.148705,0.388689,0.151079,0.0699875,-0.0308127,6,4,1,0,1.5,0,0.266404,0,1
44,2601.07,8.01859,0.834656,1.23356,0.989607,1.21894,-1.22519,0.586904,0.151013,0.0816327,0.0575044,1.15939,0.645386,0.0987132,0.971181,1,0.431818,0.159091,0.0681818,0.0909091,0.431818,68,8.40652,0.280708,0.56195,0.315788,0.218108,-0.143643,0.348387,0.121374,0.0450954,-0.0211195,0,0,0,0,0,0,0,0,1
30,1746.69,7.95553,0.389389,0.844381,0.513722,0.457789,-0.343498,0.50131,0.153296,0.0977157,-0.000231989,0.738116,0.42668,0.130587,1,1,0.3,0.166667,0.0666667,0.0666667,0.166667,118,7.99249,0.262927,0.597751,0.357306,0.244569,-0.209583,0.370618,0.137358,0.058567,-0.0273828,0,0,0,0,0,0,0,0,1
38,2170.71,7.72347,0.535025,1.02441,0.677105,0.752598,-0.376069,0.587347,0.175578,0.144863,0.0900952,0.747314,0.310785,0.0805282,0.993211,1,0.368421,0.0789474,0.0526316,0.0526316,0.0789474,128,7.88525,0.249499,0.501194,0.251195,0.163297,-0.0784622,0.322987,0.104321,0.0380112,-0.0131226,6,5,4,0,1.2,0.051,0,0,1
