PMTBaryTheta,PMTAvgDist,PMTAvgT,PMTQtotal,PMTQtotalClustered,PMTHits,PMTFracQmax,PMTFracQdownstream,PMTFracClustered,PMTFracLowQ,PMTFracEarly,PMTFracLate,PMTRMSTheta,PMTVarTheta,PMTRMSThetaBary,PMTVarThetaBary,PMTRMSPhi,PMTVarPhi,PMTRMSPhiBary,PMTVarPhiBary,PMTFracLargeAnglePhi,PMTFracLargeAngleTheta,PMTHitsLargeAnglePhi,PMTHitsLargeAngleTheta,LAPPDBaryTheta,LAPPDAvgDist,LAPPDQtotal,LAPPDAvgT,LAPPDHits,LAPPDRMSTheta,LAPPDVarTheta,LAPPDRMSThetaBary,LAPPDVarThetaBary,MrdLayers,MrdPaddles,MrdConsLayers,MrdAdjHits,MrdPadPerLayer,MrdXSpread,MrdYSpread,MrdClusters
0.833831,1.39908,8.11974,3287.37,2303.23,52,0.103324,0.954628,0.70063,0.384615,0,0.173077,1.30517,1.04745,0.660455,0.188902,2.68663,2.82816,1.23774,0.766803,0.461538,0.173077,24,9,0.0712954,1.33958,144,8.63512,144,0.631697,0.631697,0.568571,0.323273,0,0,0,0,0,0,0,0
1.72489,1.46,8.75806,3681.13,0,61,0.0424732,0.418591,0,0.262295,0.0327869,0.327869,1.69379,1.80632,0.644379,0.305548,3.0411,2.96377,2.22243,4.45945,0.852459,0.180328,52,11,0.2516,1.41265,24,13.5415,24,0.58348,0.58348,0.36355,0.132169,0,0,0,0,0,0,0,0
0.772403,1.40106,8.34311,3313.64,2279.37,45,0.0803831,0.982754,0.687875,0.333333,0,0.0888889,1.14709,0.966078,0.542893,0.150775,3.18171,3.03006,0.726432,0.216773,0.155556,0.0666667,7,3,0.363171,1.33147,140,8.46776,140,0.661034,0.661034,0.359443,0.129199,0,0,0,0,0,0,0,0
0.757344,1.38778,7.45831,3069.67,2762.69,39,0.170238,0.98506,0.899996,0.512821,0.128205,0.205128,1.10462,0.958621,0.511032,0.143792,3.24938,3.44984,1.18994,0.547837,0.410256,0.102564,16,4,0.330575,1.33369,88,6.38205,88,0.599722,0.599722,0.351622,0.123638,4,6,2,0,1.5,0.372167,0.3045,0
1.11393,1.30126,4.75457,1071.4,0,12,0.265364,1,0,0.416667,0.583333,0.0833333,1.08193,1.15435,0.286052,0.0535387,3.36052,3.64742,1.1087,0.543829,0.416667,0,5,0,0.674462,1.29245,11,5.507,11,0.751882,0.751882,0.242738,0.0589217,0,0,0,0,0,0,0,0
1.07613,1.42127,8.08061,4298.59,3469.61,41,0.220795,0.933499,0.80715,0.463415,0.097561,0.268293,1.26886,1.18532,0.52106,0.131002,3.39992,2.97966,1.30592,0.795824,0.609756,0.0731707,25,3,0.286421,1.33955,61,9.01093,61,0.564495,0.564495,0.363483,0.13212,0,0,0,0,0,0,0,0
0.917309,1.42385,7.46745,2045.77,0,35,0.205888,0.982239,0,0.457143,0.114286,0.114286,1.10991,1.09532,0.414741,0.142286,3.72224,3.29537,1.55304,1.2555,0.771429,0.0285714,27,1,0.207122,1.31137,32,7.51923,32,0.595732,0.595732,0.437039,0.191003,3,5,2,0,1.66667,0,0.1015,0
0.442379,1.35156,8.25729,1026.44,831.729,38,0.0618846,1,0.810305,0.631579,0,0.0789474,0.995312,0.944073,0.601703,0.309236,3.22612,3.2006,0.497384,0.212064,0,0.0526316,0,2,0.0795179,1.39,38,9.45591,38,0.544903,0.544903,0.474508,0.225158,0,0,0,0,0,0,0,0
0.21129,1.34799,7.2527,1911.83,1837.78,31,0.107337,1,0.96127,0.419355,0,0,0.825347,0.629624,0.632224,0.194621,2.94669,2.98878,0.440204,0.120415,0,0.16129,0,5,0.304427,1.36763,140,7.35579,140,0.620444,0.620444,0.363882,0.13241,5,5,3,0,1,0,0,0
0.883093,1.44723,6.61259,1524.49,1111.78,28,0.0786456,0.987776,0.729278,0.321429,0.142857,0.0357143,1.04009,0.99851,0.399503,0.136867,3.43786,3.44481,0.842903,0.689208,0.357143,0,10,0,0.233626,1.30996,53,8.28664,53,0.563566,0.563566,0.403507,0.162818,0,0,0,0,0,0,0,0
0.339046,1.38391,8.87162,2261.52,1913.42,48,0.0610895,0.993994,0.846074,0.416667,0,0.1875,1.05221,0.948331,0.755253,0.419657,3.07028,2.98402,0.606585,0.233961,0.0208333,0.229167,1,11,0.16573,1.32725,53,9.15026,53,0.684069,0.684069,0.529958,0.280856,0,0,0,0,0,0,0,0
0.223196,1.40786,7.88633,2211.34,2081.32,32,0.187731,0.988954,0.941203,0.40625,0,0.1875,0.931361,0.662662,0.738595,0.221874,3.36555,3.18052,0.717298,0.202396,0.0625,0.1875,2,6,0.0868407,1.32262,133,6.87085,133,0.555974,0.555974,0.48666,0.236838,0,0,0,0,0,0,0,0
0.562237,1.40887,8.15263,3576.8,3206.54,46,0.119722,1,0.896483,0.434783,0.0434783,0.217391,1.02199,0.831091,0.530993,0.148503,3.58791,3.44585,0.866322,0.493584,0.347826,0.0434783,16,2,0.315053,1.30779,131,7.99231,131,0.655641,0.655641,0.396523,0.15723,4,4,2,0,1,0,0,0
